time_s,SQL_Hz,HL_Hz,your_design_Hz,classical_Hz,NV_Hz,superconducting_Hz
1.000000e-06,1.591549e-03,1.591549e-05,2.085144e-07,2.100000e+00,3.500000e-04,1.200000e-05
1.261857e-06,1.416821e-03,1.261276e-05,1.856227e-07,1.869452e+00,3.115753e-04,1.068258e-05
1.592283e-06,1.261276e-03,9.995394e-06,1.652441e-07,1.664214e+00,2.773690e-04,9.509795e-06
2.009233e-06,1.122807e-03,7.921179e-06,1.471028e-07,1.481508e+00,2.469181e-04,8.465763e-06
2.535364e-06,9.995394e-04,6.277399e-06,1.309531e-07,1.318861e+00,2.198102e-04,7.536350e-06
3.199267e-06,8.898051e-04,4.974731e-06,1.165765e-07,1.174070e+00,1.956784e-04,6.708972e-06
4.037017e-06,7.921179e-04,3.942389e-06,1.037781e-07,1.045175e+00,1.741958e-04,5.972428e-06
5.094138e-06,7.051553e-04,3.124276e-06,9.238484e-08,9.304305e-01,1.550718e-04,5.316746e-06
6.428073e-06,6.277399e-04,2.475935e-06,8.224238e-08,8.282833e-01,1.380472e-04,4.733047e-06
8.111308e-06,5.588235e-04,1.962137e-06,7.321341e-08,7.373503e-01,1.228917e-04,4.213430e-06
1.023531e-05,4.974731e-04,1.554960e-06,6.517568e-08,6.564003e-01,1.094001e-04,3.750859e-06
1.291550e-05,4.428581e-04,1.232279e-06,5.802037e-08,5.843375e-01,9.738958e-05,3.339071e-06
1.629751e-05,3.942389e-04,9.765600e-07,5.165061e-08,5.201860e-01,8.669767e-05,2.972492e-06
2.056512e-05,3.509575e-04,7.739071e-07,4.598015e-08,4.630775e-01,7.717958e-05,2.646157e-06
2.595024e-05,3.124276e-04,6.133081e-07,4.093223e-08,4.122385e-01,6.870642e-05,2.355649e-06
3.274549e-05,2.781278e-04,4.860362e-07,3.643849e-08,3.669810e-01,6.116349e-05,2.097034e-06
4.132012e-05,2.475935e-04,3.851754e-07,3.243809e-08,3.266920e-01,5.444867e-05,1.866811e-06
5.214008e-05,2.204115e-04,3.052449e-07,2.887688e-08,2.908261e-01,4.847102e-05,1.661864e-06
6.579332e-05,1.962137e-04,2.419014e-07,2.570663e-08,2.588978e-01,4.314964e-05,1.479416e-06
8.302176e-05,1.746724e-04,1.917027e-07,2.288443e-08,2.304747e-01,3.841246e-05,1.316999e-06
1.047616e-04,1.554960e-04,1.519211e-07,2.037207e-08,2.051721e-01,3.419535e-05,1.172412e-06
1.321941e-04,1.384249e-04,1.203949e-07,1.813552e-08,1.826473e-01,3.044122e-05,1.043699e-06
1.668101e-04,1.232279e-04,9.541088e-08,1.614451e-08,1.625954e-01,2.709923e-05,9.291164e-07
2.104904e-04,1.096993e-04,7.561149e-08,1.437209e-08,1.447449e-01,2.412414e-05,8.271135e-07
2.656088e-04,9.765600e-05,5.992081e-08,1.279425e-08,1.288541e-01,2.147568e-05,7.363089e-07
3.351603e-04,8.693484e-05,4.748622e-08,1.138964e-08,1.147078e-01,1.911797e-05,6.554733e-07
